week,location,average_price
28/12/2013,146.01(150.02),117.94(131.47)
21/12/2013,148.05(150.92),118.79(133.94)
07/12/2013,156.78(156.91),124.74(135.21)
30/11/2013,158.71(157.58),124.23(133.61)
23/11/2013,153.56(158.64),126.28(134.87)
16/11/2013,155.04(156.87),130.83(135.29)
09/11/2013,153.35(156.08),131.90(131.40)
02/11/2013,153.98 (152.76),130.49 (129.33)
26/10/2013,158.61 (N.S.),132.59 (N.S.)
19/10/2013,N.S. (155.24),N.S. (127.74)
12/10/2013,162.20 (157.81),137.59 (131.21)
05/10/2013,161.04 (NS),135.69 (133.39)
28/09/2013,158.08 (157.49),131.80 (135.37)
21/09/2013,158.47 (159.36),132.28 (136.13)
14/09/2013,160.10 (167.08),131.44 (136.86)
07/09/2013,156.74 (166.75),129.53 (139.27)
31/08/2013,161.28 (169.18),132.90 (139.10)
24/08/2013,161.67 (168.91),132.92 (142.19)
17/08/2013,173.07 (176.37),135.10 (141.27)
10/08/2013,169.95 (168.84),139.87 (143.27)
03/08/2013,169.10(167.87),141.14(143.63)
27/07/2013,170.76(168.74),142.3(142.41)
20/07/2013,175.67(169.66),145.21(144.24)
13/07/2013,182.91(169.99),147.16(143.47)
06/07/2013,184.02(171.12),149.14(148.91)
29/06/2013,184.35(167.45),147.47(151.72)
22/06/2013,176.05(173.06),143.30(154.52)
15/06/2013,165.11(174.01),141.76(158.55)
08/06/2013,160.27(180.20),139.23(161.92)
01/06/2013,164.28(180.40),135.71(159.31)
25/05/2013,173.77(177.46),142.09(160.38)
18/05/2013,174.82(170.32),148.92(158.07)
11/05/2013,174.70(167.61),145.85(155.05)
04/05/2013,174.16(169.35),151.87(158.11)
27/04/2013,172.79(157.48),157.15(155.62)
20/04/2013,166.00(120.00),164.65(142.01)
13/04/2013,139.82(120.43),158.23(153.93)
06/04/2013,133.05(97.99),129.75(133.30)
30/03/2013,N.S.(85.19),N.S.(88.63)
23/03/2013,135.30(N.S.),127.53(N.S.)
02/03/2013,N.S.(N.S.),N.S.(N.S.)
09/03/2013,137.56(88.29),122.34(80.10)
02/03/2013,144.81(92.45),N.S.(N.S.)
23/02/2013,133.53(99.01),121.85(75.29)
16/02/2013,129.57(102.86),120.73(86.57)
09/02/2013,131.12(106.63),119.08(86.73)
02/02/2013,132.82(107.62),116.72(86.89)
26/01/2013,141.87(110.64),116.67(86.03)
19/01/2013,140.57(111.72),121.80(87.79)
12/01/2013,145.37(118.18),122.25(89.74)
05/01/2013,147.62(120.32),130.36(93.42)
27/12/2014,155.77(146.01),126.14(117.94)
20/12/2014,163.76(148.05),125.91(118.79)
13/12/2014,164.96(151.47),133.03(121.88)
06/12/2014,169.09(156.78),133.88(124.74)
29/11/2014,167.24(158.71),135.17(124.23)
22/11/2014,170.68(153.56),135.26(126.28)
15/11/2014,166.21(155.04),140.02(130.78)
08/11/2014,160.72(153.35),137.12(131.90)
01/11/2014,157.87(153.98),136.53(130.49)
25/10/2014,160.08(158.61),136.61(132.59)
18/10/2014,158.94(NS),136.21(NS)
11/10/2014,157.68(162.20),135.47(137.59)
04/10/2014,NS(161.04),NS(135.68)
27/09/2014,165.25(158.08),137.65(131.80)
20/09/2014,161.86(158.47),135.79(132.28)
13/09/2014,157.53(160.10),141.95(131.45)
06/09/2014,161.33(156.74),140.90(129.54)
30/08/2014,165.44(161.28),145.57(132.69)
23/08/2014,168.47(161.67),147.00(132.92)
16/08/2014,173.18(173.07),151.07(135.10)
09/08/2014,177.98(169.95),152.88(139.88)
02/08/2014,182.03(169.10),158.65(141.14)
26/07/2014,189.71(170.76),162.30(142.30)
19/07/2014,194.77(175.67),165.70(145.21)
12/07/2014,202.58(182.91),174.09(147.16)
05/07/2014,201.42(184.02),174.20(149.14)
28/06/2014,196.17(184.35),177.21(147.47)
21/06/2014,180.30(176.05),176.22(143.30)
14/06/2014,170.82(165.11),171.53(141.76)
07/06/2014,167.12(160.27),163.34(139.25)
31/05/2014,166.37(164.28),163.52(135.71)
24/05/2014,167.64(173.77),160.86(142.09)
17/05/2014,174.58(174.82),158.44(148.92)
10/05/2014,173.37(174.70),164.90(145.85)
03/05/2014,179.27(174.16),166.36(151.87)
26/04/2014,175.80(172.79),159.79(157.15)
19/04/2014,140.88(166.00),141.13(164.65)
12/04/2014,163.20(139.82),164.11(158.23)
05/04/2014,121.38(133.05),132.04(129.75)
29/03/2014,113.34(NS),91.12(NS)
22/03/2014,NS(135.30),NS(127.53)
15/03/2014,NS(NS),NS(NS)
08/03/2014,112.86(137.56),109.50(122.34)
01/03/2014,N.S.(144.81),N.S.(N.S.)
22/02/2014,115.00(133.53),115.07(121.85)
15/02/2014,116.50(129.57),110.56(120.73)
08/02/2014,120.69(131.12),105.03(119.08)
01/02/2014,120.14(132.82),107.46(116.72)
25/01/2014,125.37(141.87),107.90(116.67)
18/01/2014,130.64(140.57),107.92(121.80)
11/01/2014,136.34(145.37),113.41(122.25)
04/01/2014,145.28(147.62),116.98(130.36)
26/12/2015,160.32(155.77),135.32(126.11)
19/12/2015,164.17(163.76),134.52(125.91)
12/12/2015,163.93(164.96),133.65(133.03)
05/12/2015,164.14(169.09),137.19(133.88)
